degree_a,degree_b,shared_count,shared_courses
Bachelor of Commerce majoring in Banking and Finance,"Bachelor of Philosophy, Politics and Economics",2,"ECON1000, ECON1012"
Bachelor of Commerce majoring in Banking and Finance,Bachelor of Economics majoring in Advanced Analysis,2,"ECON1000, ECON1012"
Bachelor of Business majoring in Project Management,Bachelor of Economics majoring in Advanced Analysis,1,ECON1000
Bachelor of Business majoring in Project Management,"Bachelor of Philosophy, Politics and Economics",1,ECON1000
Bachelor of Business majoring in Digital Business,"Bachelor of Philosophy, Politics and Economics",1,ECON1000
Bachelor of Business majoring in Project Management,Bachelor of Economics (Honours),1,ECON1000
Bachelor of Business,Bachelor of Economics (Honours),1,ECON1000
Bachelor of Business majoring in International Business,"Bachelor of Philosophy, Politics and Economics",1,ECON1000
Bachelor of Business majoring in International Business,Bachelor of Economics majoring in Advanced Analysis,1,ECON1000
Bachelor of Business majoring in International Business,Bachelor of Economics (Honours),1,ECON1000
Bachelor of Business majoring in International Business,Bachelor of Economics,1,ECON1000
Bachelor of Business,"Bachelor of Philosophy, Politics and Economics",1,ECON1000
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy","Bachelor of Philosophy, Politics and Economics",1,ECON1000
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Bachelor of Economics majoring in Advanced Analysis,1,ECON1000
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Bachelor of Economics (Honours),1,ECON1000
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Bachelor of Economics,1,ECON1000
Bachelor of Business majoring in Human Resource Management,"Bachelor of Philosophy, Politics and Economics",1,ECON1000
Bachelor of Business majoring in Human Resource Management,Bachelor of Economics majoring in Advanced Analysis,1,ECON1000
Bachelor of Business majoring in Human Resource Management,Bachelor of Economics (Honours),1,ECON1000
Bachelor of Business majoring in Human Resource Management,Bachelor of Economics,1,ECON1000
Bachelor of Business majoring in Digital Business,Bachelor of Economics,1,ECON1000
Bachelor of Business majoring in Digital Business,Bachelor of Economics (Honours),1,ECON1000
Bachelor of Business,Bachelor of Economics majoring in Advanced Analysis,1,ECON1000
Bachelor of Business,Bachelor of Economics,1,ECON1000
Bachelor of Business majoring in Project Management,Bachelor of Economics,1,ECON1000
Bachelor of Business majoring in Management,Bachelor of Economics,1,ECON1000
Bachelor of Business majoring in Procurement and Supply Chain Management,"Bachelor of Philosophy, Politics and Economics",1,ECON1000
Bachelor of Business majoring in Procurement and Supply Chain Management,Bachelor of Economics majoring in Advanced Analysis,1,ECON1000
Bachelor of Business majoring in Procurement and Supply Chain Management,Bachelor of Economics (Honours),1,ECON1000
Bachelor of Business majoring in Procurement and Supply Chain Management,Bachelor of Economics,1,ECON1000
Bachelor of Business majoring in Marketing and Design,"Bachelor of Philosophy, Politics and Economics",1,ECON1000
Bachelor of Business majoring in Marketing and Design,Bachelor of Economics majoring in Advanced Analysis,1,ECON1000
Bachelor of Business majoring in Marketing and Design,Bachelor of Economics (Honours),1,ECON1000
Bachelor of Business majoring in Marketing and Design,Bachelor of Economics,1,ECON1000
Bachelor of Business majoring in Digital Business,Bachelor of Economics majoring in Advanced Analysis,1,ECON1000
Bachelor of Business majoring in Marketing,Bachelor of Economics majoring in Advanced Analysis,1,ECON1000
Bachelor of Business majoring in Marketing,Bachelor of Economics (Honours),1,ECON1000
Bachelor of Business majoring in Marketing,Bachelor of Economics,1,ECON1000
Bachelor of Business majoring in Management,"Bachelor of Philosophy, Politics and Economics",1,ECON1000
Bachelor of Business majoring in Management,Bachelor of Economics majoring in Advanced Analysis,1,ECON1000
Bachelor of Business majoring in Management,Bachelor of Economics (Honours),1,ECON1000
Bachelor of Business majoring in Marketing,"Bachelor of Philosophy, Politics and Economics",1,ECON1000
