degree_a,degree_b,shared_count,shared_courses
"Bachelor of Business (Economics, Finance and Trade)",Bachelor of Business (Financial Planning),11,"ACCT1005, BAFI3010, BUSI1030, BUSI2019, BUSI2021, ECON1010, ECON1011, IBUS3008, LAWS1018, MARK1013, MATH1028"
Bachelor of Accounting,Bachelor of Business (Financial Planning),10,"ACCT1005, BUSI1030, BUSI2019, ECON1010, INFO2022, LAWS1018, LAWS2012, LAWS3007, MARK1013, MATH1028"
Bachelor of Accounting,"Bachelor of Business (Economics, Finance and Trade)",9,"ACCT1005, BAFI2025, BUSI1030, BUSI2019, BUSI3034, ECON1010, LAWS1018, MARK1013, MATH1028"
Bachelor of Business (Management),Bachelor of Digital Business,9,"BUSI2017, BUSI2019, BUSI2020, BUSI2021, BUSI3031, BUSI3033, ECON1010, IBUS3008, MARK1013"
Bachelor of Commerce majoring in Banking and Finance,Bachelor of Commerce majoring in Business Analytics,8,"ACCT1000, ARTI3000, BAFI1001, BUSI1001, BUSI1002, BUSI1009, ECON1000, ECON1012"
Bachelor of Commerce majoring in Accounting,Bachelor of Commerce majoring in Financial Planning,8,"ACCT1000, ARTI3000, BAFI1001, BUSI1001, BUSI1002, BUSI1009, ECON1000, ECON1012"
Bachelor of Business (Financial Planning),Bachelor of Business (Management),8,"BUSI1030, BUSI2019, BUSI2021, ECON1010, IBUS3008, INFO2022, LAWS1018, MARK1013"
Bachelor of Commerce majoring in Accounting,Bachelor of Commerce majoring in Business Analytics,8,"ACCT1000, ARTI3000, BAFI1001, BUSI1001, BUSI1002, BUSI1009, ECON1000, ECON1012"
Bachelor of Commerce majoring in Business Analytics,Bachelor of Commerce majoring in Property,8,"ACCT1000, ARTI3000, BAFI1001, BUSI1001, BUSI1002, BUSI1009, ECON1000, ECON1012"
Bachelor of Commerce majoring in Business Analytics,Bachelor of Commerce majoring in Financial Planning,8,"ACCT1000, ARTI3000, BAFI1001, BUSI1001, BUSI1002, BUSI1009, ECON1000, ECON1012"
Bachelor of Commerce majoring in Financial Planning,Bachelor of Commerce majoring in Property,8,"ACCT1000, ARTI3000, BAFI1001, BUSI1001, BUSI1002, BUSI1009, ECON1000, ECON1012"
Bachelor of Commerce majoring in Accounting,Bachelor of Commerce majoring in Property,8,"ACCT1000, ARTI3000, BAFI1001, BUSI1001, BUSI1002, BUSI1009, ECON1000, ECON1012"
Bachelor of Commerce majoring in Accounting,Bachelor of Commerce majoring in Banking and Finance,8,"ACCT1000, ARTI3000, BAFI1001, BUSI1001, BUSI1002, BUSI1009, ECON1000, ECON1012"
Bachelor of Commerce majoring in Banking and Finance,Bachelor of Commerce majoring in Property,8,"ACCT1000, ARTI3000, BAFI1001, BUSI1001, BUSI1002, BUSI1009, ECON1000, ECON1012"
Bachelor of Commerce majoring in Banking and Finance,Bachelor of Commerce majoring in Financial Planning,8,"ACCT1000, ARTI3000, BAFI1001, BUSI1001, BUSI1002, BUSI1009, ECON1000, ECON1012"
"Bachelor of Business (Economics, Finance and Trade)",Bachelor of Business (Management),7,"BUSI1030, BUSI2019, BUSI2021, ECON1010, IBUS3008, LAWS1018, MARK1013"
Bachelor of Accounting,Bachelor of Business (Management),6,"BUSI1030, BUSI2019, ECON1010, INFO2022, LAWS1018, MARK1013"
"Bachelor of Business (Economics, Finance and Trade)",Bachelor of Digital Business,6,"ACCT1005, BUSI2019, BUSI2021, ECON1010, IBUS3008, MARK1013"
Bachelor of Business (Financial Planning),Bachelor of Digital Business,6,"ACCT1005, BUSI2019, BUSI2021, ECON1010, IBUS3008, MARK1013"
Bachelor of Accounting,Bachelor of Digital Business,5,"ACCT1005, ACCT2004, BUSI2019, ECON1010, MARK1013"
Bachelor of Business majoring in Marketing,Bachelor of Commerce majoring in Property,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Procurement and Supply Chain Management,Bachelor of Commerce majoring in Financial Planning,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Procurement and Supply Chain Management,Bachelor of Commerce majoring in Business Analytics,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Procurement and Supply Chain Management,Bachelor of Commerce majoring in Banking and Finance,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Procurement and Supply Chain Management,Bachelor of Commerce majoring in Accounting,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business,Bachelor of Commerce majoring in Property,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business,Bachelor of Commerce majoring in Accounting,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Management,Bachelor of Commerce majoring in Accounting,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Management,Bachelor of Commerce majoring in Business Analytics,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Marketing,Bachelor of Commerce majoring in Financial Planning,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Management,Bachelor of Commerce majoring in Financial Planning,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Management,Bachelor of Commerce majoring in Property,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Marketing and Design,Bachelor of Commerce majoring in Business Analytics,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Marketing and Design,Bachelor of Commerce majoring in Financial Planning,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Marketing and Design,Bachelor of Commerce majoring in Property,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business,Bachelor of Commerce majoring in Financial Planning,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business,Bachelor of Commerce majoring in Business Analytics,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business,Bachelor of Commerce majoring in Banking and Finance,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Marketing,Bachelor of Commerce majoring in Accounting,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Marketing,Bachelor of Commerce majoring in Banking and Finance,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Marketing,Bachelor of Commerce majoring in Business Analytics,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Management,Bachelor of Commerce majoring in Banking and Finance,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in International Business,Bachelor of Commerce majoring in Business Analytics,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Procurement and Supply Chain Management,Bachelor of Commerce majoring in Property,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in International Business,Bachelor of Commerce majoring in Property,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Economics (Honours),Bachelor of Economics majoring in Advanced Analysis,4,"ECON1000, ECON1012, ECON2000, ECON2001"
Bachelor of Business majoring in Human Resource Management,Bachelor of Commerce majoring in Accounting,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Human Resource Management,Bachelor of Commerce majoring in Banking and Finance,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Human Resource Management,Bachelor of Commerce majoring in Business Analytics,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Human Resource Management,Bachelor of Commerce majoring in Financial Planning,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Human Resource Management,Bachelor of Commerce majoring in Property,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Business majoring in Project Management,Bachelor of Commerce majoring in Property,4,"ACCT1000, BUSI1001, BUSI1002, ECON1000"
Bachelor of Economics,Bachelor of Economics majoring in Advanced Analysis,4,"ECON1000, ECON1012, ECON2000, ECON2001"
Bachelor of Economics,Bachelor of Economics (Honours),4,"ECON1000, ECON1012, ECON2000, ECON2001"
