degree_name,course_code,course_name,stream_clean
Bachelor of International Business,MARK1010,OL Introduction to Marketing,Program Core
Bachelor of International Business,MARK1016,OL Building and Managing Brands,Program Core
Bachelor of International Business,MARK3009,OL Marketing Communications in a Digital World,Program Core
Bachelor of International Business,MARK3014,OL Marketing to the World,Program Core
Bachelor of International Business,POLI2012,OL International Trade: Negotiations and Agreements,Program Core
Bachelor of International Business,POLI2013,OL International Trade: Strategies and Opportunities,Program Core
Bachelor of International Business,STAT1007,OL Data Analytics I,Program Core
"Bachelor of Philosophy, Politics and Economics",ECON1000,Principles of Economics,Program Core
"Bachelor of Philosophy, Politics and Economics",ECON1002,Introduction to Mathematical Economics,Program Core
"Bachelor of Philosophy, Politics and Economics",ECON1012,Data Analytics,Program Core
"Bachelor of Philosophy, Politics and Economics",ECON2000,Intermediate Macroeconomics,Program Core
"Bachelor of Philosophy, Politics and Economics",ECON2003,Intermediate Applied Microeconomics,Program Core
"Bachelor of Philosophy, Politics and Economics",PHIL1001,Philosophy: Big Questions,Program Core
"Bachelor of Philosophy, Politics and Economics",PHIL2016,Ethical Theories: Their Foundations and Practical Applications,Program Core
"Bachelor of Philosophy, Politics and Economics",POLI2003,Principles of Social Policy,Program Core
"Bachelor of Philosophy, Politics and Economics",POLI3010,"Choices, Models, and Morals",Program Core
"Bachelor of Philosophy, Politics and Economics",POLI4000,Introduction to Politics,Program Core
"Bachelor of Philosophy, Politics and Economics",SOCI1006,The Anatomy of Social Problems: Social Critique and Policy,Program Core
"Bachelor of Philosophy, Politics and Economics",SOCI2001,Passions and Interests: The History of Greed,Program Core
"Bachelor of Philosophy, Politics and Economics",PHIL1002,Philosophy: Key Thinkers,Program Core
"Bachelor of Philosophy, Politics and Economics",POLI1000,Introduction to Australian Politics,Program Core
"Bachelor of Philosophy, Politics and Economics",ECON3800,Economic Policy Analysis,Program Core
"Bachelor of Philosophy, Politics and Economics",SOCI2019,Professional Pathways and Destinations 2,Program Core
